step,population,diversity,avg_fitness,cooperation_index,mutation_rate,environmental_pressure
0,0,0,0.0,0.0,0.02,0.1
1,0,0,0.0,0.0,0.02,0.1
2,3,3,13.495639245301916,10.333333333333334,0.02,0.1
3,3,3,13.495639245301916,10.333333333333334,0.02,0.1
4,3,3,13.495639245301916,10.333333333333334,0.02,0.1
5,4,4,13.089356475705376,18.0,0.02,0.1
6,5,4,15.009272335849062,16.8,0.02,0.1
7,6,4,14.894579444731617,16.5,0.02,0.1
8,6,4,14.894579444731617,16.5,0.02,0.1
9,7,5,15.398905693224494,20.857142857142858,0.02,0.1
10,9,6,15.687117426729518,25.444444444444443,0.02,0.1
11,11,7,16.63733713978291,22.272727272727273,0.02,0.1
12,12,7,16.24010139204398,23.833333333333332,0.02,0.1
13,15,9,15.897266513397684,24.466666666666665,0.02,0.1
14,17,10,16.452032108978294,25.058823529411764,0.02,0.1
15,16,9,17.262979930143345,26.375,0.02,0.1
16,21,13,17.354810084195197,25.714285714285715,0.02,0.1
17,23,14,17.143518362748036,26.782608695652176,0.02,0.1
18,32,19,17.355819855395904,28.3125,0.02,0.1
19,35,20,17.227617739043783,28.857142857142858,0.02,0.1
20,39,22,17.35164278848922,30.0,0.02,0.1
21,45,24,17.646552501212582,30.666666666666668,0.02,0.1
22,49,26,17.552837657350512,30.06122448979592,0.02,0.1
23,53,29,17.830262699291012,30.49056603773585,0.02,0.1
24,62,31,18.11906236182575,30.629032258064516,0.02,0.1
25,67,34,18.218394220227097,30.686567164179106,0.02,0.1
26,78,41,17.876185196224096,29.05128205128205,0.02,0.1
27,84,42,17.96055680943449,28.61904761904762,0.02,0.1
28,89,43,17.831902036648394,28.797752808988765,0.02,0.1
29,91,44,17.659068804373238,28.76923076923077,0.02,0.1
30,97,48,17.885158929251933,28.49484536082474,0.02,0.1
31,105,52,17.916163232531005,28.761904761904763,0.02,0.1
32,111,55,18.018702487706186,28.594594594594593,0.02,0.1
33,119,55,17.952676176402562,28.41176470588235,0.02,0.1
34,122,56,17.86092248700505,28.237704918032787,0.02,0.1
35,125,57,17.8884406921804,28.344,0.02,0.1
36,131,59,17.616370099956125,27.740458015267176,0.02,0.1
37,134,60,17.809422886705583,27.55223880597015,0.02,0.1
38,142,61,17.780620927472434,27.260563380281692,0.02,0.1
