step,population,diversity,avg_fitness,cooperation_index,mutation_rate,environmental_pressure
0,0,0,0.0,0.0,0.02,0.1
1,2,2,21.20512470065523,32.0,0.02,0.1
2,2,2,21.20512470065523,32.0,0.02,0.1
3,4,3,19.953437618070847,32.5,0.02,0.1
4,4,3,19.953437618070847,32.5,0.02,0.1
5,5,4,18.39814398031907,31.2,0.02,0.1
6,6,5,17.805939249321835,33.0,0.02,0.1
7,8,7,18.440375784796245,28.0,0.02,0.1
8,8,7,18.440375784796245,28.0,0.02,0.1
9,9,7,18.040880208078406,29.555555555555557,0.02,0.1
10,12,9,17.99216254986489,28.0,0.02,0.1
11,16,12,18.437482507114705,28.75,0.02,0.1
12,19,13,18.543483160145076,28.68421052631579,0.02,0.1
13,23,17,18.656351735527185,28.47826086956522,0.02,0.1
14,24,17,18.497541896310867,29.041666666666668,0.02,0.1
15,28,19,18.66459483203483,29.178571428571427,0.02,0.1
16,32,22,18.4804542770658,29.0625,0.02,0.1
17,35,24,18.186305427515503,28.742857142857144,0.02,0.1
18,35,24,18.186305427515503,28.742857142857144,0.02,0.1
19,37,24,18.46586799845313,29.35135135135135,0.02,0.1
20,42,26,18.504266417709253,29.452380952380953,0.02,0.1
21,46,27,18.576704669523025,28.934782608695652,0.02,0.1
22,49,28,18.57252895628881,29.959183673469386,0.02,0.1
23,52,28,18.583923415394107,29.73076923076923,0.02,0.1
24,54,30,18.665545471348814,29.25925925925926,0.02,0.1
25,56,30,18.560050761126202,28.75,0.02,0.1
26,60,31,18.642999371823144,28.7,0.02,0.1
27,65,35,18.465211755127807,28.046153846153846,0.02,0.1
28,73,39,18.422560404661997,27.794520547945204,0.02,0.1
29,77,39,18.486868825012287,27.571428571428573,0.02,0.1
30,84,41,18.404865051264977,27.261904761904763,0.02,0.1
31,89,42,18.351796709604834,27.258426966292134,0.02,0.1
32,89,42,18.423882595769534,27.49438202247191,0.02,0.1
33,93,43,18.453950214212515,27.376344086021504,0.02,0.1
34,100,46,18.449640235699135,27.42,0.02,0.1
35,104,49,18.30156660380517,27.16346153846154,0.02,0.1
36,108,51,18.299627581903454,26.87037037037037,0.02,0.1
37,113,53,18.47198279844301,26.27433628318584,0.02,0.1
38,117,55,18.710370790418114,26.675213675213676,0.02,0.1
39,117,54,18.773999510465984,26.65811965811966,0.02,0.1
40,118,55,18.651293795234377,26.47457627118644,0.02,0.1
41,121,56,18.754976051384567,26.66115702479339,0.02,0.1
42,129,59,18.644237238915828,26.031007751937985,0.02,0.1
43,137,64,18.67903004712095,25.83211678832117,0.02,0.1
44,144,66,18.756864947543754,26.0625,0.02,0.1
45,147,66,18.810251858122548,26.034013605442176,0.02,0.1
46,151,69,18.80646829689224,25.841059602649008,0.02,0.1
47,156,70,18.852983471721622,25.5,0.02,0.1
48,166,74,18.80411427567975,25.602409638554217,0.02,0.1
49,170,75,18.912022509862116,25.48235294117647,0.02,0.1
50,173,76,18.944804658538434,25.61849710982659,0.02,0.1
51,176,76,18.955537686783927,25.65340909090909,0.02,0.1
52,183,79,19.06528445163455,25.601092896174862,0.02,0.1
53,188,82,19.029836154681846,25.51063829787234,0.02,0.1
54,196,86,18.90824036968557,25.397959183673468,0.02,0.1
55,199,87,18.941970936253735,25.44221105527638,0.02,0.1
56,205,90,18.918934318163092,25.068292682926828,0.02,0.1
57,207,90,19.058893159010047,24.966183574879228,0.02,0.1
58,213,92,19.13276724411027,25.258215962441316,0.02,0.1
59,220,96,18.99112302412268,25.131818181818183,0.02,0.1
60,223,97,19.01749053363818,25.30493273542601,0.02,0.1
61,224,97,19.105682457440167,25.174107142857142,0.02,0.1
62,229,103,19.22230148729068,25.29694323144105,0.02,0.1
63,235,105,19.130166317139494,25.051063829787235,0.02,0.1
64,241,106,19.24083342534208,25.199170124481327,0.02,0.1
65,244,108,19.358214451858796,25.040983606557376,0.02,0.1
66,251,111,19.394965933977456,24.92430278884462,0.02,0.1
67,254,113,19.3708997481556,24.84251968503937,0.02,0.1
68,258,116,19.316528516153674,24.74418604651163,0.02,0.1
69,259,115,19.34360831346377,24.73745173745174,0.02,0.1
70,261,116,19.372090375169563,24.666666666666668,0.02,0.1
71,264,118,19.416702751583713,24.424242424242426,0.02,0.1
72,269,119,19.366645338005135,24.37546468401487,0.02,0.1
73,270,120,19.387228626780804,24.374074074074073,0.02,0.1
74,277,123,19.2687396388878,24.249097472924188,0.02,0.1
75,280,123,19.240599093102837,24.235714285714284,0.02,0.1
76,282,123,19.204877606983025,24.177304964539008,0.02,0.1
77,286,125,19.190589730460864,24.03146853146853,0.02,0.1
78,285,126,19.210581151478927,23.96140350877193,0.02,0.1
79,287,128,19.20801592597426,23.916376306620208,0.02,0.1
80,288,128,19.23300762936422,23.805555555555557,0.02,0.1
81,289,129,19.27034599319617,23.968858131487888,0.02,0.1
82,292,133,19.31017615592493,23.982876712328768,0.02,0.1
83,296,135,19.271096549608146,23.81418918918919,0.02,0.1
84,304,141,19.21497349260716,23.75657894736842,0.02,0.1
85,305,141,19.24783061934193,23.763934426229508,0.02,0.1
86,306,141,19.23345556894121,23.69934640522876,0.02,0.1
87,306,141,19.29107956953393,23.735294117647058,0.02,0.1
88,303,138,19.316802153725114,23.455445544554454,0.02,0.1
89,304,136,19.426523727630627,23.325657894736842,0.02,0.1
90,303,135,19.446585254686156,23.31023102310231,0.02,0.1
91,304,134,19.46711371406213,23.457236842105264,0.02,0.1
92,307,135,19.418458454228066,23.49185667752443,0.02,0.1
93,310,136,19.41659810591931,23.496774193548386,0.02,0.1
94,308,135,19.48693521084649,23.616883116883116,0.02,0.1
95,314,140,19.33774641238447,23.538216560509554,0.02,0.1
96,312,139,19.317655997454725,23.381410256410255,0.02,0.1
97,308,138,19.279390113280957,23.461038961038962,0.02,0.1
98,309,139,19.20130972294919,23.29126213592233,0.02,0.1
99,307,138,19.20061945688771,23.140065146579804,0.02,0.1
100,310,139,19.226711510014997,23.14516129032258,0.02,0.1
101,309,138,19.23887247157469,23.058252427184467,0.019,0.1
102,310,138,19.174594832596867,23.009677419354837,0.019,0.1
103,312,140,19.1784663310389,23.083333333333332,0.019,0.1
104,310,139,19.20144472849078,23.048387096774192,0.019,0.1
105,309,139,19.229673273460378,23.09061488673139,0.019,0.1
106,304,137,19.329956158722432,23.07236842105263,0.019,0.1
107,302,138,19.289909872401065,23.125827814569536,0.019,0.1
108,301,139,19.246128980599355,23.069767441860463,0.019,0.1
109,294,136,19.30644256055304,23.125850340136054,0.019,0.1
110,294,137,19.270077813517855,23.06122448979592,0.019,0.1
111,297,139,19.32451181793836,23.2996632996633,0.019,0.1
112,295,137,19.404678788904025,23.291525423728814,0.019,0.1
113,291,139,19.37491236188859,23.233676975945016,0.019,0.1
114,290,140,19.443464552397916,23.33448275862069,0.019,0.1
115,285,138,19.451038068046017,23.087719298245613,0.019,0.1
116,279,135,19.400009150318503,22.849462365591396,0.019,0.1
117,277,133,19.47286152300222,22.783393501805055,0.019,0.1
118,277,137,19.41566866669214,22.812274368231048,0.019,0.1
119,269,136,19.431612763732065,22.602230483271377,0.019,0.1
120,273,142,19.318729744855425,22.692307692307693,0.019,0.1
121,271,145,19.303056853992178,22.498154981549817,0.019,0.1
122,266,145,19.281305711883565,22.42105263157895,0.019,0.1
123,259,143,19.3033345206242,22.463320463320464,0.019,0.1
124,256,143,19.339160036951636,22.4921875,0.019,0.1
