step,population,diversity,avg_fitness,cooperation_index,mutation_rate,environmental_pressure
0,0,0,0.0,0.0,0.02,0.1
1,0,0,0.0,0.0,0.02,0.1
2,1,1,19.93797341544876,37.0,0.02,0.1
3,2,2,24.28432694972979,43.5,0.02,0.1
4,5,5,20.07795798373497,30.6,0.02,0.1
5,6,5,20.331586623981472,27.666666666666668,0.02,0.1
6,10,8,20.726375170455068,29.2,0.02,0.1
7,11,8,20.805771048160423,27.727272727272727,0.02,0.1
8,13,10,19.1766999928555,26.23076923076923,0.02,0.1
9,17,13,19.865702848058785,26.88235294117647,0.02,0.1
10,19,14,19.665940870780112,27.57894736842105,0.02,0.1
11,23,16,20.462736015240658,29.17391304347826,0.02,0.1
12,27,17,20.107101835767846,28.037037037037038,0.02,0.1
13,28,17,20.160409978248065,27.5,0.02,0.1
14,31,18,19.89772436808036,26.483870967741936,0.02,0.1
15,34,20,19.49498192368702,26.147058823529413,0.02,0.1
16,37,21,19.142350563704685,26.64864864864865,0.02,0.1
17,39,21,19.472778407295895,26.871794871794872,0.02,0.1
18,44,23,19.422469198269805,27.15909090909091,0.02,0.1
19,46,23,19.620318366972562,27.804347826086957,0.02,0.1
20,50,23,19.71249415360218,27.96,0.02,0.1
21,52,23,19.984026249246053,28.634615384615383,0.02,0.1
22,58,26,20.09399890321424,28.25862068965517,0.02,0.1
23,64,29,19.746101368002815,28.390625,0.02,0.1
24,68,30,19.84223596748109,28.58823529411765,0.02,0.1
25,72,32,19.783110702875067,28.180555555555557,0.02,0.1
26,80,35,19.57530809553372,28.35,0.02,0.1
27,82,35,19.584889124592866,28.536585365853657,0.02,0.1
28,86,35,19.663477276710637,28.697674418604652,0.02,0.1
29,92,39,19.265552778080643,28.652173913043477,0.02,0.1
30,101,43,19.248734621161773,28.287128712871286,0.02,0.1
31,107,44,19.15953043210758,27.962616822429908,0.02,0.1
32,112,45,19.268814924002584,28.214285714285715,0.02,0.1
33,115,46,19.22946836662846,28.191304347826087,0.02,0.1
34,117,47,19.19807180337427,28.35042735042735,0.02,0.1
35,120,50,19.32149595369686,28.575,0.02,0.1
36,127,55,19.180695652117272,28.1496062992126,0.02,0.1
37,134,56,19.104697942887732,28.48507462686567,0.02,0.1
38,144,61,18.96698203908089,27.944444444444443,0.02,0.1
