step,population,diversity,avg_fitness,cooperation_index,mutation_rate,environmental_pressure
0,0,0,0.0,0.0,0.02,0.1
1,1,1,23.1002273929847,22.0,0.02,0.1
2,4,3,16.62680080958902,18.0,0.02,0.1
3,4,3,16.62680080958902,18.0,0.02,0.1
4,5,3,15.079834320219552,19.0,0.02,0.1
5,7,5,13.849792661709756,20.142857142857142,0.02,0.1
6,10,8,14.700629664883646,20.4,0.02,0.1
7,11,8,14.40191606713468,19.0,0.02,0.1
8,13,10,14.656949526928322,19.76923076923077,0.02,0.1
9,18,14,13.327590593228443,20.22222222222222,0.02,0.1
10,25,17,13.67293150560652,21.56,0.02,0.1
11,29,20,14.095470960602352,22.275862068965516,0.02,0.1
12,29,20,14.095470960602352,22.275862068965516,0.02,0.1
13,31,21,13.576134130580593,21.70967741935484,0.02,0.1
14,36,23,13.585688751379616,21.916666666666668,0.02,0.1
15,42,28,14.17258989133614,22.738095238095237,0.02,0.1
16,49,30,13.879186571271864,23.285714285714285,0.02,0.1
17,53,32,13.88649434514005,23.71698113207547,0.02,0.1
18,56,33,13.845816094019451,23.982142857142858,0.02,0.1
19,57,34,13.8376336808395,23.894736842105264,0.02,0.1
20,63,37,14.378099338708521,24.61904761904762,0.02,0.1
21,68,36,14.678896915888874,24.426470588235293,0.02,0.1
22,73,39,14.646538789182292,24.52054794520548,0.02,0.1
23,78,42,14.77449341397063,24.384615384615383,0.02,0.1
24,85,47,14.686718116761027,24.141176470588235,0.02,0.1
25,90,48,14.73586312138011,24.1,0.02,0.1
26,92,51,15.158668223897989,24.98913043478261,0.02,0.1
27,96,54,15.387436042049686,25.03125,0.02,0.1
28,104,57,15.288369804834632,25.278846153846153,0.02,0.1
29,108,59,15.44492749333646,25.462962962962962,0.02,0.1
30,112,58,15.71742276750969,25.464285714285715,0.02,0.1
31,114,59,16.121224497065338,25.771929824561404,0.02,0.1
32,118,61,16.060102045856684,25.322033898305083,0.02,0.1
33,121,63,16.17883410984975,25.140495867768596,0.02,0.1
34,128,66,16.20938816560446,25.640625,0.02,0.1
35,135,68,16.275617104732493,25.622222222222224,0.02,0.1
36,133,69,16.7279535096409,26.112781954887218,0.02,0.1
37,136,68,17.06508026479574,26.330882352941178,0.02,0.1
38,141,68,17.128295624157214,25.900709219858157,0.02,0.1
39,146,70,17.379497007477156,25.993150684931507,0.02,0.1
40,147,69,17.601358713857454,26.183673469387756,0.02,0.1
41,147,66,17.83160281795172,26.163265306122447,0.02,0.1
42,151,69,17.920243540564382,26.205298013245034,0.02,0.1
43,157,69,17.764395373376868,25.70700636942675,0.02,0.1
44,161,69,17.6517935439231,25.229813664596275,0.02,0.1
45,166,70,17.642219238112226,24.951807228915662,0.02,0.1
46,172,74,17.740268819381384,24.441860465116278,0.02,0.1
47,173,74,17.7531657112506,24.069364161849713,0.02,0.1
48,182,77,17.73823950399031,24.126373626373628,0.02,0.1
49,187,80,17.844654595100785,24.235294117647058,0.02,0.1
50,197,84,17.806478563651197,24.15736040609137,0.02,0.1
51,198,84,18.03191283723579,24.237373737373737,0.02,0.1
52,202,86,18.01599102500023,24.346534653465348,0.02,0.1
53,206,88,17.969030204737173,24.359223300970875,0.02,0.1
54,212,90,17.957053189650978,24.471698113207548,0.02,0.1
55,219,95,17.920589840628484,24.561643835616437,0.02,0.1
56,221,96,17.957701259655884,24.615384615384617,0.02,0.1
57,225,96,17.979662692348146,24.502222222222223,0.02,0.1
58,228,98,18.08719282596112,24.517543859649123,0.02,0.1
59,230,98,18.140986896891544,24.66521739130435,0.02,0.1
60,235,100,18.12818841880121,24.782978723404256,0.02,0.1
61,241,105,18.177590012105753,24.676348547717843,0.02,0.1
