step,population,diversity,avg_fitness,cooperation_index,mutation_rate,environmental_pressure
0,0,0,0.0,0.0,0.02,0.1
1,0,0,0.0,0.0,0.02,0.1
2,0,0,0.0,0.0,0.02,0.1
3,1,1,27.371676862096344,43.0,0.02,0.1
4,2,1,27.371676862096344,43.0,0.02,0.1
5,5,4,24.100051421890534,37.2,0.02,0.1
6,8,6,23.991404319742156,37.625,0.02,0.1
7,8,6,23.991404319742156,37.625,0.02,0.1
8,9,6,24.36699015778151,38.22222222222222,0.02,0.1
9,9,6,24.36699015778151,38.22222222222222,0.02,0.1
10,9,6,24.36699015778151,38.22222222222222,0.02,0.1
11,11,8,21.830285161469426,32.72727272727273,0.02,0.1
12,11,8,21.830285161469426,32.72727272727273,0.02,0.1
13,12,8,20.75793156386989,30.583333333333332,0.02,0.1
14,14,9,19.07342683297369,27.214285714285715,0.02,0.1
15,14,9,19.07342683297369,27.214285714285715,0.02,0.1
16,16,11,18.470910398157287,27.5,0.02,0.1
17,19,13,17.889073648541554,27.0,0.02,0.1
18,21,14,17.39545944951071,25.476190476190474,0.02,0.1
19,26,18,17.39373967350822,24.46153846153846,0.02,0.1
20,30,19,17.383379404442355,25.0,0.02,0.1
21,31,20,17.28836556005772,25.580645161290324,0.02,0.1
22,33,21,17.17888607999708,25.060606060606062,0.02,0.1
23,38,23,16.859507877509255,26.263157894736842,0.02,0.1
24,45,26,16.535894292528187,25.044444444444444,0.02,0.1
25,48,27,16.002485770546055,23.854166666666668,0.02,0.1
26,52,30,16.05984522357332,24.115384615384617,0.02,0.1
27,58,32,15.810820364514978,22.879310344827587,0.02,0.1
28,63,33,15.563549705794129,22.6984126984127,0.02,0.1
29,65,34,15.828240455765613,22.73846153846154,0.02,0.1
30,74,37,15.800044631020404,22.2972972972973,0.02,0.1
31,81,37,15.650514585812626,22.728395061728396,0.02,0.1
32,84,38,15.60116259020378,23.261904761904763,0.02,0.1
33,86,38,15.908177695446165,23.569767441860463,0.02,0.1
34,91,40,16.107261228935435,24.164835164835164,0.02,0.1
35,98,42,16.30684094373609,24.255102040816325,0.02,0.1
36,105,42,15.983887709948927,23.666666666666668,0.02,0.1
37,111,43,16.23449487091145,24.306306306306308,0.02,0.1
38,113,42,16.171412261837762,23.75221238938053,0.02,0.1
