step,population,diversity,avg_fitness,cooperation_index,mutation_rate,environmental_pressure
0,0,0,0.0,0.0,0.02,0.1
1,0,0,0.0,0.0,0.02,0.1
2,0,0,0.0,0.0,0.02,0.1
3,0,0,0.0,0.0,0.02,0.1
4,2,2,21.402042127199522,41.5,0.02,0.1
5,3,3,19.258954087918436,33.333333333333336,0.02,0.1
6,4,4,18.25608833642616,28.25,0.02,0.1
7,7,6,19.49971185836021,23.571428571428573,0.02,0.1
8,8,7,18.90884512723472,22.625,0.02,0.1
9,8,7,18.90884512723472,22.625,0.02,0.1
10,12,11,17.378149548425398,23.916666666666668,0.02,0.1
11,12,11,17.378149548425398,23.916666666666668,0.02,0.1
12,15,12,18.128775311376476,25.666666666666668,0.02,0.1
13,15,12,18.128775311376476,25.666666666666668,0.02,0.1
14,16,13,18.683760348817444,26.1875,0.02,0.1
15,18,15,17.93788761694949,26.055555555555557,0.02,0.1
16,20,16,17.498724040099823,27.15,0.02,0.1
17,22,17,17.27864406655705,27.045454545454547,0.02,0.1
18,27,21,16.805864620144852,26.62962962962963,0.02,0.1
19,27,21,16.805864620144852,26.62962962962963,0.02,0.1
20,32,25,17.210524583238104,26.03125,0.02,0.1
21,37,29,16.98393842273586,25.91891891891892,0.02,0.1
22,40,31,16.70417011645581,25.85,0.02,0.1
23,43,32,17.05590393925723,26.953488372093023,0.02,0.1
24,48,33,17.01568637131486,26.979166666666668,0.02,0.1
25,51,33,16.830023729021523,25.823529411764707,0.02,0.1
26,52,33,16.95184860851312,26.192307692307693,0.02,0.1
27,58,35,17.164457501605852,26.25862068965517,0.02,0.1
28,60,35,17.016007921404093,26.35,0.02,0.1
29,64,37,17.201399895733726,26.78125,0.02,0.1
30,72,41,16.976298040460723,27.625,0.02,0.1
31,76,42,16.963924158115905,27.526315789473685,0.02,0.1
32,81,44,16.69306435597512,27.074074074074073,0.02,0.1
33,83,45,16.867071518961577,27.240963855421686,0.02,0.1
34,87,48,16.80947117019727,27.160919540229884,0.02,0.1
35,97,50,16.74746917298846,27.298969072164947,0.02,0.1
36,103,49,16.798279897621484,26.97087378640777,0.02,0.1
37,108,50,16.659405939259635,26.037037037037038,0.02,0.1
38,112,54,16.74192851963463,26.241071428571427,0.02,0.1
39,116,56,16.63571575677116,25.879310344827587,0.02,0.1
