planet_id,max_population,max_diversity,final_population,avg_fitness,cooperation_evolution,evolutionary_stability,adaptation_events,successful_lineages,went_extinct,final_mutation_rate,final_environmental_pressure
1,289,165,154,18.142721923605883,22.954545454545453,13.483560360676256,4,0,False,0.022990000000000003,0.08100000000000002
2,302,152,129,18.53582445728119,23.96124031007752,6.11950978428828,5,0,False,0.022990000000000003,0.08100000000000002
3,252,161,154,18.661130946097074,26.863636363636363,4.238914955504533,5,0,False,0.027817900000000003,0.09000000000000001
4,302,152,127,18.509894368106124,25.74015748031496,3.52227199404021,5,0,False,0.02781790000000001,0.09000000000000001
5,314,155,143,19.147595846732102,26.636363636363637,6.458761491183894,4,0,False,0.029282000000000006,0.09000000000000001
6,314,158,130,18.797815660234022,24.76923076923077,6.526530471851028,6,0,False,0.022823322500000003,0.08100000000000002
7,242,153,131,18.556899315482973,23.64885496183206,3.6826077716748493,5,0,False,0.025289000000000006,0.08100000000000002
8,275,154,128,18.66326786034728,25.8671875,3.8682812720897117,3,0,False,0.026620000000000005,0.08100000000000002
