step,population,diversity,avg_fitness,cooperation_index,mutation_rate,environmental_pressure
0,0,0,0.0,0.0,0.02,0.1
1,1,1,14.534435769957861,18.0,0.02,0.1
2,1,1,14.534435769957861,18.0,0.02,0.1
3,1,1,14.534435769957861,18.0,0.02,0.1
4,2,1,14.534435769957861,18.0,0.02,0.1
5,3,2,13.76014330207993,13.0,0.02,0.1
6,4,2,13.953716419049412,14.25,0.02,0.1
7,9,7,17.701148847762227,21.11111111111111,0.02,0.1
8,10,7,18.77143156223596,23.5,0.02,0.1
9,12,8,19.648683557982654,25.333333333333332,0.02,0.1
10,13,9,18.730933181397628,23.53846153846154,0.02,0.1
11,16,11,19.63463349631052,25.3125,0.02,0.1
12,18,12,18.816178444168248,23.77777777777778,0.02,0.1
13,22,16,18.540537888481857,23.545454545454547,0.02,0.1
14,23,17,18.283693633534703,22.956521739130434,0.02,0.1
15,23,17,18.283693633534703,22.956521739130434,0.02,0.1
16,26,18,17.678981647449124,23.26923076923077,0.02,0.1
17,28,18,17.263270726381357,22.892857142857142,0.02,0.1
18,32,18,16.99666850481905,22.59375,0.02,0.1
19,37,21,16.765508908545065,22.35135135135135,0.02,0.1
20,41,23,16.452058522140696,22.585365853658537,0.02,0.1
21,46,24,16.222638943744492,22.217391304347824,0.02,0.1
22,56,27,16.327462628762593,22.642857142857142,0.02,0.1
23,60,27,16.28981704022483,22.233333333333334,0.02,0.1
24,69,30,16.88446358587786,22.82608695652174,0.02,0.1
25,80,31,16.36851665218218,22.5875,0.02,0.1
26,88,34,16.161707121305838,21.59090909090909,0.02,0.1
27,91,36,16.09783749549283,21.65934065934066,0.02,0.1
28,94,37,16.195858263813317,21.382978723404257,0.02,0.1
29,109,39,16.053612288333156,20.96330275229358,0.02,0.1
30,115,43,16.11727881743574,21.330434782608695,0.02,0.1
31,123,46,16.10682884509086,21.495934959349594,0.02,0.1
32,125,46,16.179302159054483,21.552,0.02,0.1
33,128,47,16.246441827743734,21.578125,0.02,0.1
34,135,49,16.375551724243635,21.71851851851852,0.02,0.1
35,140,51,16.48902815879424,21.4,0.02,0.1
